date,open,high,low,close,adj_close,volume
2020-01-02,51.20000076293945,52.060001373291016,51.16999816894531,52.040000915527344,42.6046142578125,7808000
2020-01-03,51.220001220703125,51.45000076293945,50.83000183105469,51.20000076293945,41.91690444946289,6706000
2020-01-06,50.66999816894531,51.040000915527344,50.459999084472656,51.02000045776367,41.7695426940918,7476700
2020-01-07,51.040000915527344,51.189998626708984,50.709999084472656,50.91999816894531,41.68767547607422,4538100
2020-01-08,50.959999084472656,51.790000915527344,50.900001525878906,51.56999969482422,42.219818115234375,6185200
2020-01-09,52.16999816894531,52.25,51.81999969482422,52.060001373291016,42.62097930908203,7308000
2020-01-10,52.150001525878906,52.470001220703125,51.91999816894531,52.209999084472656,42.74378967285156,7686800
2020-01-13,52.209999084472656,52.779998779296875,52.06999969482422,52.779998779296875,43.21043395996094,8334200
2020-01-14,53.060001373291016,53.25,52.68000030517578,52.86000061035156,43.275936126708984,9602000
2020-01-15,52.47999954223633,52.939998626708984,52.11000061035156,52.939998626708984,43.341434478759766,11342500
2020-01-16,56.04999923706055,57.36000061035156,55.650001525878906,56.439998626708984,46.20684051513672,34590700
2020-01-17,56.2599983215332,57.56999969482422,56.18000030517578,57.5099983215332,47.08283233642578,15403900
2020-01-21,55.880001068115234,56.47999954223633,55.18000030517578,55.91999816894531,45.7811279296875,20833900
2020-01-22,56.18000030517578,56.5099983215332,55.849998474121094,55.86000061035156,45.73200607299805,10276800
2020-01-23,55.220001220703125,55.650001525878906,54.79999923706055,55.529998779296875,45.461830139160156,10064500
2020-01-24,55.529998779296875,55.61000061035156,54.099998474121094,54.54999923706055,44.65951919555664,9752000
2020-01-27,53.0,53.689998626708984,52.86000061035156,53.11000061035156,43.48060607910156,10649100
2020-01-28,53.79999923706055,54.439998626708984,53.380001068115234,54.02000045776367,44.225616455078125,9232900
2020-01-29,54.47999954223633,54.54999923706055,53.68000030517578,53.68000030517578,43.947261810302734,9027800
2020-01-30,52.61000061035156,53.86000061035156,52.400001525878906,53.81999969482422,44.351051330566406,8685900
